n_nodes,n_steps,sample_every_n,n_trajectories,async/sync,loss,signed_jaccard_distance,reachability_jaccard_distance
5,10,1,32,async,MDL,0.5,0.4166666666666667
5,20,1,64,async,MDL,0.4666666666666667,0.4166666666666667
5,20,2,32,sync,MDL,0.058823529411764705,0.4166666666666667
5,10,1,32,async,BDE,0.5,0.4166666666666667
5,30,1,32,async,BDE,0.3157894736842105,0.4166666666666667
5,30,1,32,async,MDL,0.2777777777777778,0.4166666666666667
5,10,1,32,sync,BDE,0.3076923076923077,0.37037037037037035
5,20,1,32,async,MDL,0.375,0.4166666666666667
5,10,1,32,sync,MDL,0.3076923076923077,0.37037037037037035
5,30,1,32,sync,BDE,0.3076923076923077,0.37037037037037035
5,20,2,32,async,MDL,0.5,0.4166666666666667
5,20,2,32,sync,BDE,0.058823529411764705,0.4166666666666667
5,20,3,32,sync,BDE,0.1875,0.3333333333333333
5,20,2,32,async,BDE,0.4666666666666667,0.4166666666666667
5,20,1,64,async,BDE,0.4375,0.4166666666666667
5,20,3,32,sync,MDL,0.16666666666666666,0.3333333333333333
5,20,1,16,async,MDL,0.5,0.4166666666666667
5,20,1,64,sync,MDL,0.3076923076923077,0.37037037037037035
5,20,3,32,async,MDL,0.375,0.4166666666666667
5,20,3,32,async,BDE,0.35294117647058826,0.4166666666666667
5,20,1,16,sync,MDL,0.3076923076923077,0.37037037037037035
5,20,1,32,sync,MDL,0.3076923076923077,0.37037037037037035
5,20,1,32,async,BDE,0.375,0.4166666666666667
5,20,1,16,async,BDE,0.5833333333333334,0.4166666666666667
5,20,1,16,sync,BDE,0.3333333333333333,0.37037037037037035
5,30,1,32,sync,MDL,0.3076923076923077,0.37037037037037035
5,20,1,64,sync,BDE,0.3076923076923077,0.37037037037037035
5,20,1,32,sync,BDE,0.3076923076923077,0.37037037037037035
8,20,1,64,sync,MDL,0.029411764705882353,0.5376344086021505
8,20,1,32,async,MDL,0.075,0.5825242718446602
8,30,1,32,async,MDL,0.075,0.5714285714285714
8,20,2,32,async,MDL,0.11764705882352941,0.5263157894736842
8,20,1,16,sync,MDL,0.03333333333333333,0.39759036144578314
8,20,3,32,sync,MDL,0.07142857142857142,0.16666666666666666
8,20,1,32,sync,BDE,0.03125,0.42045454545454547
8,20,1,16,async,BDE,0.125,0.46
8,10,1,32,async,BDE,0.11363636363636363,0.5892857142857143
8,20,1,16,async,MDL,0.12903225806451613,0.550561797752809
8,20,1,64,sync,BDE,0.029411764705882353,0.5376344086021505
8,20,2,32,sync,MDL,0.0625,0.43956043956043955
8,20,2,32,sync,BDE,0.09090909090909091,0.4946236559139785
8,20,3,32,async,BDE,0.09375,0.49473684210526314
8,30,1,32,sync,BDE,0.03225806451612903,0.38372093023255816
8,20,1,32,sync,MDL,0.029411764705882353,0.5376344086021505
8,30,1,32,sync,MDL,0.0625,0.4175824175824176
8,20,1,32,async,BDE,0.09803921568627451,0.5982142857142857
8,10,1,32,sync,BDE,0.03333333333333333,0.3373493975903614
8,20,2,32,async,BDE,0.08108108108108109,0.5714285714285714
8,30,1,32,async,BDE,0.08888888888888889,0.5925925925925926
8,20,3,32,async,MDL,0.0967741935483871,0.5617977528089888
8,20,1,64,async,BDE,0.16666666666666666,0.5982142857142857
8,10,1,32,sync,MDL,0.030303030303030304,0.5
8,20,3,32,sync,BDE,0.06896551724137931,0.16666666666666666
8,20,1,16,sync,BDE,0.03571428571428571,0.2948717948717949
8,20,1,64,async,MDL,0.1282051282051282,0.6055045871559633
8,10,1,32,async,MDL,0.1111111111111111,0.5673076923076923
16,20,1,16,sync,BDE,0.034482758620689655,0.1686746987951807
16,30,1,32,sync,BDE,0.03389830508474576,0.1875
16,20,3,32,async,BDE,0.04854368932038835,0.36629213483146067
16,20,3,32,sync,BDE,0.07272727272727272,0.16475095785440613
16,20,2,32,async,BDE,0.10084033613445378,0.3961864406779661
16,20,3,32,async,MDL,0.05063291139240506,0.3047091412742382
16,20,1,16,sync,MDL,0.034482758620689655,0.1686746987951807
16,30,1,32,sync,MDL,0.03389830508474576,0.1875
16,20,1,32,sync,MDL,0.03389830508474576,0.1875
16,20,2,32,sync,BDE,0.015625,0.2037037037037037
16,30,1,32,async,BDE,0.053691275167785234,0.38958333333333334
16,20,1,64,async,MDL,0.037037037037037035,0.3857442348008386
16,20,3,32,sync,MDL,0.07017543859649122,0.18518518518518517
16,10,1,32,async,BDE,0.06666666666666667,0.3936842105263158
16,20,2,32,async,MDL,0.03409090909090909,0.35768261964735515
16,20,1,64,async,BDE,0.049079754601226995,0.38958333333333334
16,20,1,64,sync,BDE,0.03333333333333333,0.20152091254752852
16,10,1,32,sync,BDE,0.03333333333333333,0.20152091254752852
16,20,1,64,sync,MDL,0.03333333333333333,0.20152091254752852
16,20,1,32,async,BDE,0.06870229007633588,0.38958333333333334
16,20,1,32,sync,BDE,0.03389830508474576,0.1875
16,10,1,32,sync,MDL,0.03333333333333333,0.20152091254752852
16,20,2,32,sync,MDL,0.015625,0.2037037037037037
16,30,1,32,async,MDL,0.0784313725490196,0.3771551724137931
16,20,1,16,async,MDL,0.03260869565217391,0.33178654292343385
16,20,1,32,async,MDL,0.030303030303030304,0.3638344226579521
16,20,1,16,async,BDE,0.04672897196261682,0.3685393258426966
16,10,1,32,async,MDL,0.010638297872340425,0.3595238095238095
